method,task,seed,kappa,layer,layer_type,eval_accuracy,test_error,n_cols,s,s_over_d,theta_mean,theta_var,theta_max,theta_global,c_dora_asym,c_map_asym,c_dora_nonasym
dora,sst2,0,10.0,roberta.encoder.layer.0.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0009878859855234623,2.6972557520821283e-07,0.0024657000321894884,0.0011960399847578942,0.004783272743225098,7.152557373046875e-06,6.227163363201868e-05
dora,sst2,0,10.0,roberta.encoder.layer.0.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0009798485552892089,2.8864539558526303e-07,0.0034179703798145056,0.0012918708471908544,0.004795193672180176,8.344650268554688e-06,6.242682773452838e-05
dora,sst2,0,10.0,roberta.encoder.layer.0.attention.self.value,attn,0.48828125,0.51171875,768,1,0.0013020833333333333,0.002363863866776228,6.351003207782924e-07,0.015506449155509472,0.002367031732966455,0.023896098136901855,2.8014183044433594e-05,0.0003110943381858269
dora,sst2,0,10.0,roberta.encoder.layer.0.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.0025350379291921854,6.209060074979789e-07,0.006059420295059681,0.002416869469240256,0.02706170082092285,2.9206275939941406e-05,0.00035230613210727877
dora,sst2,0,10.0,roberta.encoder.layer.0.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0019297912949696183,5.05354421420634e-07,0.00765062402933836,0.0021283690265013343,0.016241073608398438,2.2649765014648438e-05,5.286751645044198e-05
dora,sst2,0,10.0,roberta.encoder.layer.0.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.0012282193638384342,2.8726142886625894e-07,0.003504078835248947,0.0017263351293762485,0.02758324146270752,1.4901161193847656e-05,0.0003590958740920783
dora,sst2,0,10.0,roberta.encoder.layer.1.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0013198974775150418,3.0196883926691953e-07,0.0034179703798145056,0.0015049840294750147,0.007849335670471191,1.1324882507324219e-05,0.00010218755679751451
dora,sst2,0,10.0,roberta.encoder.layer.1.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0013698944821953773,2.562735801348026e-07,0.0025371843948960304,0.0015049840294750147,0.008190274238586426,1.1324882507324219e-05,0.00010662610812929204
dora,sst2,0,10.0,roberta.encoder.layer.1.attention.self.value,attn,0.48828125,0.51171875,768,2,0.0026041666666666665,0.002149393083527684,3.5697710245585768e-06,0.047020263969898224,0.0021283690265013343,0.031446218490600586,2.2649765014648438e-05,0.00040938652301034784
dora,sst2,0,10.0,roberta.encoder.layer.1.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.0024152637924999,5.623630841000704e-07,0.006281592417508364,0.002392080397253338,0.024560093879699707,2.86102294921875e-05,0.00031973864969561737
dora,sst2,0,10.0,roberta.encoder.layer.1.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0019193878397345543,4.5180118490861787e-07,0.007324235048145056,0.002071602268438928,0.015881657600402832,2.1457672119140625e-05,5.1697554896580545e-05
dora,sst2,0,10.0,roberta.encoder.layer.1.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.001107009593397379,3.0197662681530346e-07,0.0026067092549055815,0.0017263351293762485,0.023461580276489258,1.4901161193847656e-05,0.0003054375131493482
dora,sst2,0,10.0,roberta.encoder.layer.2.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0014510760083794594,3.162834332215425e-07,0.0047591812908649445,0.0015822122496098592,0.0093001127243042,1.2516975402832031e-05,0.00012107467907294547
dora,sst2,0,10.0,roberta.encoder.layer.2.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0015184381045401096,3.646037782800704e-07,0.006948377937078476,0.0016558424702036252,0.01025378704071045,1.3709068298339844e-05,0.00013349020727372178
dora,sst2,0,10.0,roberta.encoder.layer.2.attention.self.value,attn,0.48828125,0.51171875,768,2,0.0026041666666666665,0.001997672952711582,3.6615981571230805e-06,0.04731607064604759,0.002013235508753585,0.029382705688476562,2.0265579223632812e-05,0.0003825224238659181
dora,sst2,0,10.0,roberta.encoder.layer.2.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.0023387197870761156,3.9726037925902347e-07,0.004228642676025629,0.0022375862553496904,0.022528767585754395,2.5033950805664062e-05,0.00029329357462796384
dora,sst2,0,10.0,roberta.encoder.layer.2.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0018599912291392684,4.369329360542906e-07,0.0039517637342214584,0.00218366056813166,0.014962553977966309,2.384185791015625e-05,4.870571291307417e-05
dora,sst2,0,10.0,roberta.encoder.layer.2.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.001073280698619783,3.0023358021935564e-07,0.002560569206252694,0.0016914560684037987,0.02230525016784668,1.430511474609375e-05,0.0002903836852059069
dora,sst2,0,10.0,roberta.encoder.layer.3.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0013302918523550034,2.919620385455346e-07,0.004367323592305183,0.0014648438809672687,0.007916688919067383,1.0728836059570312e-05,0.00010306440347669434
dora,sst2,0,10.0,roberta.encoder.layer.3.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0013615168863907456,2.431451378015481e-07,0.002868003910407424,0.0013810680417624171,0.00805199146270752,9.5367431640625e-06,0.00010482585654017948
dora,sst2,0,10.0,roberta.encoder.layer.3.attention.self.value,attn,0.48828125,0.51171875,768,1,0.0013020833333333333,0.0018580574542284012,5.516927103599301e-06,0.06036277860403061,0.0019834081387378453,0.034436583518981934,1.9669532775878906e-05,0.00044831696362490706
dora,sst2,0,10.0,roberta.encoder.layer.3.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.002183531643822789,3.1907620723359287e-07,0.00438095023855567,0.0022375862553496904,0.019533634185791016,2.5033950805664062e-05,0.00025430105637240074
dora,sst2,0,10.0,roberta.encoder.layer.3.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0018232982838526368,6.611809908463329e-07,0.008279235102236271,0.002013235508753585,0.01530468463897705,2.0265579223632812e-05,4.98194076592043e-05
dora,sst2,0,10.0,roberta.encoder.layer.3.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.00108911597635597,3.038652209852444e-07,0.0026067092549055815,0.001760523311082662,0.022886991500854492,1.5497207641601562e-05,0.00029795715740838045
dora,sst2,0,10.0,roberta.encoder.layer.4.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0013650358887389302,2.517110999633587e-07,0.004186142701655626,0.00142357236015881,0.008121728897094727,1.0132789611816406e-05,0.00010573374203986125
dora,sst2,0,10.0,roberta.encoder.layer.4.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0014027009019628167,2.3128347947931616e-07,0.0031832056120038033,0.0015440810421447873,0.008443593978881836,1.1920928955078125e-05,0.00010992398280762325
dora,sst2,0,10.0,roberta.encoder.layer.4.attention.self.value,attn,0.48828125,0.51171875,768,2,0.0026041666666666665,0.0019027999369427562,3.2241678127320483e-06,0.03643054515123367,0.0019834081387378453,0.02628326416015625,1.9669532775878906e-05,0.0003421719572133951
dora,sst2,0,10.0,roberta.encoder.layer.4.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.002168261678889394,3.507578583139548e-07,0.004554388113319874,0.002210787837465917,0.01940011978149414,2.4437904357910156e-05,0.00025256288242429207
dora,sst2,0,10.0,roberta.encoder.layer.4.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0018918141722679138,7.5169214142079e-07,0.009480742737650871,0.002210787837465917,0.016629695892333984,2.4437904357910156e-05,5.413254950702185e-05
dora,sst2,0,10.0,roberta.encoder.layer.4.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.0011265418725088239,3.1310412396123866e-07,0.00314553314819932,0.001794060110804788,0.02430260181427002,1.609325408935547e-05,0.00031638645708140776
dora,sst2,0,10.0,roberta.encoder.layer.5.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.001398931723088026,2.9958491154502553e-07,0.004200357012450695,0.0015440810421447873,0.008665323257446289,1.1920928955078125e-05,0.00011281059311430374
dora,sst2,0,10.0,roberta.encoder.layer.5.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0014576021349057555,3.7941313735245785e-07,0.004784164018929005,0.0015440810421447873,0.009615421295166016,1.1920928955078125e-05,0.00012517956308432713
dora,sst2,0,10.0,roberta.encoder.layer.5.attention.self.value,attn,0.48828125,0.51171875,768,2,0.0026041666666666665,0.001781557104550302,2.602451786515303e-06,0.035190265625715256,0.001760523311082662,0.022180676460266113,1.5497207641601562e-05,0.0002887619068346805
dora,sst2,0,10.0,roberta.encoder.layer.5.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.002087528118863702,3.232108838346903e-07,0.0046834335662424564,0.0021001774531218867,0.01797497272491455,2.205371856689453e-05,0.000234009427469257
dora,sst2,0,10.0,roberta.encoder.layer.5.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.001958850771188736,6.320125862657733e-07,0.006233967840671539,0.0023161218508249096,0.01716136932373047,2.682209014892578e-05,5.5863238903447064e-05
dora,sst2,0,10.0,roberta.encoder.layer.5.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.0012159035541117191,2.8410684649315954e-07,0.002970099914819002,0.001794060110804788,0.027072429656982422,1.609325408935547e-05,0.0003524458067995375
dora,sst2,0,10.0,roberta.encoder.layer.6.attention.self.query,attn,0.48828125,0.51171875,768,1,0.0013020833333333333,0.0014121192507445812,5.324443463905482e-07,0.010415442287921906,0.0015049840294750147,0.009701848030090332,1.1324882507324219e-05,0.0001263047203275225
dora,sst2,0,10.0,roberta.encoder.layer.6.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0015151932602748275,2.536856698043266e-07,0.0040998212061822414,0.0015049840294750147,0.00979006290435791,1.1324882507324219e-05,0.0001274531566860943
dora,sst2,0,10.0,roberta.encoder.layer.6.attention.self.value,attn,0.48828125,0.51171875,768,3,0.00390625,0.001911058439873159,3.4299216622457607e-06,0.03765374422073364,0.0019834081387378453,0.02719402313232422,1.9669532775878906e-05,0.00035402878664513645
dora,sst2,0,10.0,roberta.encoder.layer.6.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.0020348827820271254,2.673596384283883e-07,0.003734635654836893,0.0021001774531218867,0.016927123069763184,2.205371856689453e-05,0.000220367865858654
dora,sst2,0,10.0,roberta.encoder.layer.6.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0019453507848083973,5.212722840042261e-07,0.008802643977105618,0.002264067499069088,0.016533732414245605,2.562999725341797e-05,5.382017171237559e-05
dora,sst2,0,10.0,roberta.encoder.layer.6.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.0011758535401895642,3.146654705687979e-07,0.003164425492286682,0.001760523311082662,0.026070475578308105,1.5497207641601562e-05,0.0003394017424835969
dora,sst2,0,10.0,roberta.encoder.layer.7.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0012485291808843613,2.724659395880735e-07,0.004041248932480812,0.0014648438809672687,0.007032155990600586,1.0728836059570312e-05,9.154900107047432e-05
dora,sst2,0,10.0,roberta.encoder.layer.7.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0013468279503285885,3.111778141828836e-07,0.005940206348896027,0.0015049840294750147,0.00816047191619873,1.1324882507324219e-05,0.00010623812287301779
dora,sst2,0,10.0,roberta.encoder.layer.7.attention.self.value,attn,0.48828125,0.51171875,768,4,0.005208333333333333,0.0023207198828458786,4.661435013986193e-06,0.0466676764190197,0.002416869469240256,0.03857910633087158,2.9206275939941406e-05,0.0005022469142470291
dora,sst2,0,10.0,roberta.encoder.layer.7.attention.output.dense,attn,0.48828125,0.51171875,768,0,0.0,0.0025537419132888317,6.579742262147192e-07,0.00707588205114007,0.002583742233392698,0.02756953239440918,3.337860107421875e-05,0.0003589174008741921
dora,sst2,0,10.0,roberta.encoder.layer.7.intermediate.dense,mlp,0.48828125,0.51171875,768,0,0.0,0.0018770428141579032,5.076322509012243e-07,0.0071346047334373,0.00218366056813166,0.015478730201721191,2.384185791015625e-05,5.038595620601614e-05
dora,sst2,0,10.0,roberta.encoder.layer.7.output.dense,mlp,0.48828125,0.51171875,3072,0,0.0,0.0011192188831046224,2.883001570808119e-07,0.0027404725551605225,0.0016914560684037987,0.023669004440307617,1.430511474609375e-05,0.000308137890533017
dora,sst2,0,10.0,roberta.encoder.layer.8.attention.self.query,attn,0.48828125,0.51171875,768,0,0.0,0.0014261705800890923,3.4541224636086554e-07,0.008307982236146927,0.0014648438809672687,0.009136795997619629,1.0728836059570312e-05,0.00011894851986856253
dora,sst2,0,10.0,roberta.encoder.layer.8.attention.self.key,attn,0.48828125,0.51171875,768,0,0.0,0.0015141386538743973,2.9009788704570383e-07,0.0040998212061822414,0.0016914560684037987,0.009917616844177246,1.430511474609375e-05,0.00012911373358294814
